Date,Open,High,Low,Close,Volume
2023-11-06 00:00:00-05:00,467.75,474.0,431.0,432.0,26963424
2023-11-13 00:00:00-05:00,437.25,442.75,400.5,407.0,25803088
2023-11-20 00:00:00-05:00,407.25,407.25,385.75,397.5,15483128
2023-11-27 00:00:00-05:00,399.0,409.75,383.75,397.5,22920460
2023-12-04 00:00:00-05:00,409.25,420.0,390.0,391.5,23498304
2023-12-11 00:00:00-05:00,392.75,393.5,351.75,356.25,23667704
2023-12-18 00:00:00-05:00,354.0,355.0,333.25,338.25,20703536
2023-12-25 00:00:00-05:00,336.5,341.0,327.75,336.25,13211284
2024-01-01 00:00:00-05:00,345.25,374.0,344.75,370.0,20694400
2024-01-08 00:00:00-05:00,366.75,367.25,332.5,336.75,23688412
2024-01-15 00:00:00-05:00,340.0,353.75,309.25,309.5,24000008
2024-01-22 00:00:00-05:00,305.0,311.25,291.25,304.75,25518672
2024-01-29 00:00:00-05:00,304.0,320.0,290.75,293.0,28612912
2024-02-05 00:00:00-05:00,293.5,301.75,276.5,278.0,23475128
2024-02-12 00:00:00-05:00,278.5,301.25,274.25,291.25,25199676
2024-02-19 00:00:00-05:00,295.75,310.0,271.0,278.0,22850212
2024-02-26 00:00:00-05:00,276.75,283.5,260.75,262.25,23714132
2024-03-04 00:00:00-05:00,262.5,284.25,257.0,274.0,33713816
2024-03-10 23:00:00-05:00,277.0,286.5,264.75,284.0,30260308
2024-03-17 23:00:00-05:00,273.75,284.25,251.25,257.0,27956296
2024-03-24 23:00:00-05:00,261.75,265.5,255.5,262.0,14042492
2024-03-31 23:00:00-05:00,260.5,278.5,255.75,268.5,27212548
2024-04-07 23:00:00-05:00,266.75,276.25,258.25,272.25,29422348
2024-04-14 23:00:00-05:00,265.5,324.75,265.25,321.0,37788688
2024-04-21 23:00:00-05:00,315.25,323.25,282.75,285.75,29973000
2024-04-28 23:00:00-05:00,282.0,308.0,274.75,277.0,29350088
2024-05-05 23:00:00-05:00,273.5,275.0,261.25,265.25,19821972
2024-05-12 23:00:00-05:00,262.0,266.25,244.25,249.25,21705532
2024-05-19 23:00:00-05:00,249.0,249.75,235.75,240.0,20548644
2024-05-26 23:00:00-05:00,238.25,265.25,237.25,250.5,19030832
2024-06-02 23:00:00-05:00,246.0,257.25,229.0,233.0,25197064
2024-06-09 23:00:00-05:00,235.0,235.5,210.5,210.75,24314368
2024-06-16 23:00:00-05:00,210.5,212.25,200.5,210.0,20727872
2024-06-23 23:00:00-05:00,211.75,217.25,196.5,207.0,25131716
2024-06-30 23:00:00-05:00,205.75,210.5,186.0,186.25,18023500
2024-07-07 23:00:00-05:00,186.0,192.5,178.5,187.75,24707384
2024-07-14 23:00:00-05:00,186.25,213.5,181.0,211.5,34332824
2024-07-21 23:00:00-05:00,204.0,238.25,199.75,227.5,37652440
2024-07-28 23:00:00-05:00,223.5,254.0,208.75,247.25,47138016
2024-08-04 23:00:00-05:00,287.5,289.75,240.0,242.5,52092684
2024-08-11 23:00:00-05:00,241.25,245.75,204.25,205.75,29140496
2024-08-18 23:00:00-05:00,206.0,208.5,193.25,199.5,31235112
2024-08-25 23:00:00-05:00,200.5,215.5,199.25,205.0,30062148
2024-09-01 23:00:00-05:00,209.0,244.25,208.75,243.0,31468380
2024-09-08 23:00:00-05:00,236.25,241.75,202.75,204.25,36170856
2024-09-15 23:00:00-05:00,207.25,211.75,190.25,195.75,33031148
2024-09-22 23:00:00-05:00,194.25,197.5,178.0,186.25,26293144
2024-09-29 23:00:00-05:00,187.5,197.25,184.5,185.75,34440276
2024-10-06 23:00:00-05:00,188.25,193.5,177.75,179.25,25214100
2024-10-13 23:00:00-05:00,177.0,185.75,173.25,178.25,25716788
2024-10-20 23:00:00-05:00,179.75,188.75,172.25,177.75,32232756
2024-10-27 23:00:00-05:00,174.5,190.25,171.25,186.0,35794100
2024-11-04 00:00:00-05:00,187.0,190.0,157.4499969482422,158.14999389648438,37953760
2024-11-11 00:00:00-05:00,157.0500030517578,177.39999389648438,156.85000610351562,175.4499969482422,44068840
2024-11-18 00:00:00-05:00,173.8000030517578,175.35000610351562,165.0,166.39999389648438,44940980
2024-11-25 00:00:00-05:00,162.35000610351562,170.35000610351562,160.85000610351562,162.89999389648438,20594100
